,Stocks,Security,GICS Sector
0,MMM,3M,Industrials
1,AOS,A. O. Smith,Industrials
2,ABT,Abbott,Health Care
3,ABBV,AbbVie,Health Care
4,ACN,Accenture,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADM,ADM,Consumer Staples
7,ADBE,Adobe Inc.,Information Technology
8,ADP,ADP,Industrials
9,AAP,Advance Auto Parts,Consumer Discretionary
10,AES,AES Corporation,Utilities
11,AFL,Aflac,Financials
12,A,Agilent Technologies,Health Care
13,APD,Air Products and Chemicals,Materials
14,AKAM,Akamai,Information Technology
15,ALK,Alaska Air Group,Industrials
16,ALB,Albemarle Corporation,Materials
17,ARE,Alexandria Real Estate Equities,Real Estate
18,ALGN,Align Technology,Health Care
19,ALLE,Allegion,Industrials
20,LNT,Alliant Energy,Utilities
21,ALL,Allstate,Financials
22,GOOGL,Alphabet Inc. (Class A),Communication Services
23,GOOG,Alphabet Inc. (Class C),Communication Services
24,MO,Altria,Consumer Staples
25,AMZN,Amazon,Consumer Discretionary
26,AMCR,Amcor,Materials
27,AMD,AMD,Information Technology
28,AEE,Ameren,Utilities
29,AAL,American Airlines Group,Industrials
30,AEP,American Electric Power,Utilities
31,AXP,American Express,Financials
32,AIG,American International Group,Financials
33,AMT,American Tower,Real Estate
34,AWK,American Water Works,Utilities
35,AMP,Ameriprise Financial,Financials
36,ABC,AmerisourceBergen,Health Care
37,AME,Ametek,Industrials
38,AMGN,Amgen,Health Care
39,APH,Amphenol,Information Technology
40,ADI,Analog Devices,Information Technology
41,ANSS,Ansys,Information Technology
42,AON,Aon,Financials
43,APA,APA Corporation,Energy
44,AAPL,Apple Inc.,Information Technology
45,AMAT,Applied Materials,Information Technology
46,APTV,Aptiv,Consumer Discretionary
47,ACGL,Arch Capital Group,Financials
48,ANET,Arista Networks,Information Technology
49,AJG,Arthur J. Gallagher & Co.,Financials
50,AIZ,Assurant,Financials
51,T,AT&T,Communication Services
52,ATO,Atmos Energy,Utilities
53,ADSK,Autodesk,Information Technology
54,AZO,AutoZone,Consumer Discretionary
55,AVB,AvalonBay Communities,Real Estate
56,AVY,Avery Dennison,Materials
57,AXON,Axon Enterprise,Industrials
58,BKR,Baker Hughes,Energy
59,BALL,Ball Corporation,Materials
60,BAC,Bank of America,Financials
61,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
62,BAX,Baxter International,Health Care
63,BDX,Becton Dickinson,Health Care
64,WRB,Berkley,Financials
65,BRK.B,Berkshire Hathaway,Financials
66,BBY,Best Buy,Consumer Discretionary
67,BIO,Bio-Rad,Health Care
68,TECH,Bio-Techne,Health Care
69,BIIB,Biogen,Health Care
70,BLK,BlackRock,Financials
71,BK,BNY Mellon,Financials
72,BA,Boeing,Industrials
73,BKNG,Booking Holdings,Consumer Discretionary
74,BWA,BorgWarner,Consumer Discretionary
75,BXP,Boston Properties,Real Estate
76,BSX,Boston Scientific,Health Care
77,BMY,Bristol Myers Squibb,Health Care
78,AVGO,Broadcom Inc.,Information Technology
79,BR,Broadridge Financial Solutions,Industrials
80,BRO,Brown & Brown,Financials
81,BF.B,Brown–Forman,Consumer Staples
82,BG,Bunge Limited,Consumer Staples
83,CHRW,C.H. Robinson,Industrials
84,CDNS,Cadence Design Systems,Information Technology
85,CZR,Caesars Entertainment,Consumer Discretionary
86,CPT,Camden Property Trust,Real Estate
87,CPB,Campbell Soup Company,Consumer Staples
88,COF,Capital One,Financials
89,CAH,Cardinal Health,Health Care
90,KMX,CarMax,Consumer Discretionary
91,CCL,Carnival,Consumer Discretionary
92,CARR,Carrier Global,Industrials
93,CTLT,Catalent,Health Care
94,CAT,Caterpillar Inc.,Industrials
95,CBOE,Cboe Global Markets,Financials
96,CBRE,CBRE Group,Real Estate
97,CDW,CDW,Information Technology
98,CE,Celanese,Materials
99,CNC,Centene Corporation,Health Care
100,CNP,CenterPoint Energy,Utilities
101,CDAY,Ceridian,Information Technology
102,CF,CF Industries,Materials
103,CRL,Charles River Laboratories,Health Care
104,SCHW,Charles Schwab Corporation,Financials
105,CHTR,Charter Communications,Communication Services
106,CVX,Chevron Corporation,Energy
107,CMG,Chipotle Mexican Grill,Consumer Discretionary
108,CB,Chubb Limited,Financials
109,CHD,Church & Dwight,Consumer Staples
110,CI,Cigna,Health Care
111,CINF,Cincinnati Financial,Financials
112,CTAS,Cintas,Industrials
113,CSCO,Cisco,Information Technology
114,C,Citigroup,Financials
115,CFG,Citizens Financial Group,Financials
116,CLX,Clorox,Consumer Staples
117,CME,CME Group,Financials
118,CMS,CMS Energy,Utilities
119,KO,Coca-Cola Company (The),Consumer Staples
120,CTSH,Cognizant,Information Technology
121,CL,Colgate-Palmolive,Consumer Staples
122,CMCSA,Comcast,Communication Services
123,CMA,Comerica,Financials
124,CAG,Conagra Brands,Consumer Staples
125,COP,ConocoPhillips,Energy
126,ED,Consolidated Edison,Utilities
127,STZ,Constellation Brands,Consumer Staples
128,CEG,Constellation Energy,Utilities
129,COO,CooperCompanies,Health Care
130,CPRT,Copart,Industrials
131,GLW,Corning Inc.,Information Technology
132,CTVA,Corteva,Materials
133,CSGP,CoStar Group,Industrials
134,COST,Costco,Consumer Staples
135,CTRA,Coterra,Energy
136,CCI,Crown Castle,Real Estate
137,CSX,CSX,Industrials
138,CMI,Cummins,Industrials
139,CVS,CVS Health,Health Care
140,DHI,D.R. Horton,Consumer Discretionary
141,DHR,Danaher Corporation,Health Care
142,DRI,Darden Restaurants,Consumer Discretionary
143,DVA,DaVita Inc.,Health Care
144,DE,John Deere,Industrials
145,DAL,Delta Air Lines,Industrials
146,XRAY,Dentsply Sirona,Health Care
147,DVN,Devon Energy,Energy
148,DXCM,Dexcom,Health Care
149,FANG,Diamondback Energy,Energy
150,DLR,Digital Realty,Real Estate
151,DFS,Discover Financial,Financials
152,DIS,Disney,Communication Services
153,DG,Dollar General,Consumer Staples
154,DLTR,Dollar Tree,Consumer Staples
155,D,Dominion Energy,Utilities
156,DPZ,Domino's,Consumer Discretionary
157,DOV,Dover Corporation,Industrials
158,DOW,Dow Inc.,Materials
159,DTE,DTE Energy,Utilities
160,DUK,Duke Energy,Utilities
161,DD,DuPont,Materials
162,DXC,DXC Technology,Information Technology
163,EMN,Eastman Chemical Company,Materials
164,ETN,Eaton Corporation,Industrials
165,EBAY,eBay,Consumer Discretionary
166,ECL,Ecolab,Materials
167,EIX,Edison International,Utilities
168,EW,Edwards Lifesciences,Health Care
169,EA,Electronic Arts,Communication Services
170,ELV,Elevance Health,Health Care
171,LLY,Eli Lilly and Company,Health Care
172,EMR,Emerson Electric,Industrials
173,ENPH,Enphase,Information Technology
174,ETR,Entergy,Utilities
175,EOG,EOG Resources,Energy
176,EPAM,EPAM Systems,Information Technology
177,EQT,EQT,Energy
178,EFX,Equifax,Industrials
179,EQIX,Equinix,Real Estate
180,EQR,Equity Residential,Real Estate
181,ESS,Essex Property Trust,Real Estate
182,EL,Estée Lauder Companies (The),Consumer Staples
183,ETSY,Etsy,Consumer Discretionary
184,RE,Everest Re,Financials
185,EVRG,Evergy,Utilities
186,ES,Eversource,Utilities
187,EXC,Exelon,Utilities
188,EXPE,Expedia Group,Consumer Discretionary
189,EXPD,Expeditors International,Industrials
190,EXR,Extra Space Storage,Real Estate
191,XOM,ExxonMobil,Energy
192,FFIV,"F5, Inc.",Information Technology
193,FDS,FactSet,Financials
194,FICO,Fair Isaac,Information Technology
195,FAST,Fastenal,Industrials
196,FRT,Federal Realty,Real Estate
197,FDX,FedEx,Industrials
198,FITB,Fifth Third Bank,Financials
199,FSLR,First Solar,Information Technology
200,FE,FirstEnergy,Utilities
201,FIS,FIS,Financials
202,FISV,Fiserv,Financials
203,FLT,Fleetcor,Financials
204,FMC,FMC Corporation,Materials
205,F,Ford Motor Company,Consumer Discretionary
206,FTNT,Fortinet,Information Technology
207,FTV,Fortive,Industrials
208,FOXA,Fox Corporation (Class A),Communication Services
209,FOX,Fox Corporation (Class B),Communication Services
210,BEN,Franklin Templeton,Financials
211,FCX,Freeport-McMoRan,Materials
212,GRMN,Garmin,Consumer Discretionary
213,IT,Gartner,Information Technology
214,GEHC,GE HealthCare,Health Care
215,GEN,Gen Digital,Information Technology
216,GNRC,Generac,Industrials
217,GD,General Dynamics,Industrials
218,GE,General Electric,Industrials
219,GIS,General Mills,Consumer Staples
220,GM,General Motors,Consumer Discretionary
221,GPC,Genuine Parts Company,Consumer Discretionary
222,GILD,Gilead Sciences,Health Care
223,GL,Globe Life,Financials
224,GPN,Global Payments,Financials
225,GS,Goldman Sachs,Financials
226,HAL,Halliburton,Energy
227,HIG,Hartford (The),Financials
228,HAS,Hasbro,Consumer Discretionary
229,HCA,HCA Healthcare,Health Care
230,PEAK,Healthpeak,Real Estate
231,HSIC,Henry Schein,Health Care
232,HSY,Hershey's,Consumer Staples
233,HES,Hess Corporation,Energy
234,HPE,Hewlett Packard Enterprise,Information Technology
235,HLT,Hilton Worldwide,Consumer Discretionary
236,HOLX,Hologic,Health Care
237,HD,Home Depot (The),Consumer Discretionary
238,HON,Honeywell,Industrials
239,HRL,Hormel Foods,Consumer Staples
240,HST,Host Hotels & Resorts,Real Estate
241,HWM,Howmet Aerospace,Industrials
242,HPQ,HP Inc.,Information Technology
243,HUM,Humana,Health Care
244,HBAN,Huntington Bancshares,Financials
245,HII,Huntington Ingalls Industries,Industrials
246,IBM,IBM,Information Technology
247,IEX,IDEX Corporation,Industrials
248,IDXX,Idexx Laboratories,Health Care
249,ITW,Illinois Tool Works,Industrials
250,ILMN,Illumina,Health Care
251,INCY,Incyte,Health Care
252,IR,Ingersoll Rand,Industrials
253,PODD,Insulet,Health Care
254,INTC,Intel,Information Technology
255,ICE,Intercontinental Exchange,Financials
256,IFF,International Flavors & Fragrances,Materials
257,IP,International Paper,Materials
258,IPG,Interpublic Group of Companies (The),Communication Services
259,INTU,Intuit,Information Technology
260,ISRG,Intuitive Surgical,Health Care
261,IVZ,Invesco,Financials
262,INVH,Invitation Homes,Real Estate
263,IQV,IQVIA,Health Care
264,IRM,Iron Mountain,Real Estate
265,JBHT,J.B. Hunt,Industrials
266,JKHY,Jack Henry & Associates,Financials
267,J,Jacobs Solutions,Industrials
268,JNJ,Johnson & Johnson,Health Care
269,JCI,Johnson Controls,Industrials
270,JPM,JPMorgan Chase,Financials
271,JNPR,Juniper Networks,Information Technology
272,K,Kellogg's,Consumer Staples
273,KDP,Keurig Dr Pepper,Consumer Staples
274,KEY,KeyCorp,Financials
275,KEYS,Keysight,Information Technology
276,KMB,Kimberly-Clark,Consumer Staples
277,KIM,Kimco Realty,Real Estate
278,KMI,Kinder Morgan,Energy
279,KLAC,KLA Corporation,Information Technology
280,KHC,Kraft Heinz,Consumer Staples
281,KR,Kroger,Consumer Staples
282,LHX,L3Harris,Industrials
283,LH,LabCorp,Health Care
284,LRCX,Lam Research,Information Technology
285,LW,Lamb Weston,Consumer Staples
286,LVS,Las Vegas Sands,Consumer Discretionary
287,LDOS,Leidos,Industrials
288,LEN,Lennar,Consumer Discretionary
289,LNC,Lincoln Financial,Financials
290,LIN,Linde plc,Materials
291,LYV,Live Nation Entertainment,Communication Services
292,LKQ,LKQ Corporation,Consumer Discretionary
